genenames	Controll	Controll.1	Controll.2	Pert.	Pert..1	Pert..2
MTERFD2	138.642	167.13	156.199	186.64	122.005	161.382
SCRIB	52.6538	38.9778	68.9632	94.3009	60.6343	99.0118
ZXDC	59.3739	53.9525	55.1033	82.7805	52.77	80.15
MRPL32	333.802	375.288	475.2	477.085	327.193	468.316
WDR69	0.33557	0.614205	0.989874	0.421603	0.890432	1.05624
FOXL1	1.03177	0.90172	1.64425	1.1704	1.33711	1.31237
SNCG	10.8185	14.3595	5.51595	14.5133	6.44202	13.1787
FZD6	17.9273	78.9238	22.5439	30.3236	13.7756	35.8526
CD200R1	2.38823	19.2219	19.4286	15.3252	8.44911	3.46105
CHRNA7	10.2328	16.5163	3.00237	1.52104	8.98277	11.9745
TAF9B	9.95329	21.9246	7.60299	24.8622	12.9212	10.8834
MCL1	1092.03	1104.79	1454.44	1308.13	873.821	1185.59
KANK2	150.781	216.106	189.049	215.921	176.153	171.257
DPP4	449.48	572.201	590.227	831.204	587.254	612.706
MAPK8IP2	22.1862	20.9515	22.5903	13.911	13.072	46.7985
RPL27	2500.26	3154.97	3233.74	3192.54	2444.7	3467.99
RTBDN	20.1064	22.8949	5.1928	23.968	15.2905	10.2966
DLG5	22.6582	31.9805	33.68	45.9451	30.5324	44.3485
ZNHIT2	138.48	105.883	135.679	150.644	156.106	125.533
UMOD	5.85793	2.75897	3.62202	13.3675	8.36576	10.3424
GPR133	8.58887	8.98734	18.9547	20.9222	12.8403	16.4236
PIPOX	1626.95	1532.19	1964.13	2275.98	1695.28	1908.52
DRD2	5.78135	4.6986	7.5412	18.1222	15.3043	16.846
NR2C2AP	101.393	111.858	151.015	160.154	122.468	146.211
ZW10	111.69	111.927	142.303	194.914	149.131	168.441
ZDHHC20	134.203	213.593	219.595	194.761	87.5691	140.353
ACOXL	1.41862	1.31687	2.81725	7.10394	4.41856	2.17467
PRKRIR	250.971	227.562	321.209	310.805	227.044	336.155
FAM159B	12.0265	10.6293	6.45045	13.0247	9.90124	9.45072
GAB1	82.2857	124.786	120.379	166.078	98.7439	160.398
LIMD2	320.461	264.979	163.005	536.639	294.215	452.733
LIN28B	3.25883	2.27709	0.0793789	3.80429	1.47054	2.35877
PLEKHG2	37.4902	43.9413	59.2711	36.9688	31.9708	40.3113
KCTD1	15.8747	20.6292	25.2884	38.6236	26.0965	52.4149
DUSP1	1924	1070.6	2107.41	2720.91	1940.45	2310.38
ACRV1	6.5964	9.91515	8.38292	6.01099	9.11372	11.1739
ANKRD27	178.807	183.092	147.231	229.129	162.038	155.934
MITD1	70.1245	65.2564	128.221	126.672	70.523	91.4278
FAM65B	46.0927	45.6095	26.7636	69.8199	49.1829	28.4446
LASS1	0.741423	2.51429	1.88015	2.43937	0.712461	2.77872
KIF1C	439.702	444.19	465.039	541.057	370.216	523.884
RBM15	90.0641	80.6524	199.349	158.394	104.262	167.811
TEKT3	18.7488	1.73221	1.57553	11.5818	10.4811	19.1764
GTF2F1	68.5272	82.2638	98.2015	104.345	91.256	80.2708
TRO	7.14467	3.52619	1.96466	8.25196	14.2573	9.86248
USP47	345.25	378.632	484.456	546.871	412.095	498.692
MME	1.03888	10.7172	4.52916	9.00694	5.16484	11.4593
PARP3	206.319	194.385	228.294	210.308	179.695	283.816
GPLD1	1786.05	1422.09	1750.91	2363.83	1495.45	2002.93
RARS	292.933	346.189	322.55	448.158	300.047	344.251
NSUN2	508.722	583.972	575.604	677.315	522.373	611.021
PDGFD	14.7974	25.5735	19.8058	28.3014	8.22542	23.8638
KCNAB2	16.0826	2.99817	13.4302	19.6941	8.63222	3.20297
FAM120B	71.666	71.9955	91.9553	102.274	70.803	104.703
NOX4	222.521	151.808	278.907	393.991	311.873	466.817
PPP1R14B	175.852	231.21	227.502	289.303	188.513	260.126
PARL	378.394	373.478	497.509	534.296	360.467	467.419
SYK	37.474	34.0339	50.8617	60.9379	33.9732	60.6559
UBE2R2	640.367	660.426	758.769	854.876	680.543	800.987
AMTN	2.34084	1.29637	3.69984	14.9951	2.45219	7.72373
ADRBK2	41.2976	72.0442	29.2771	44.0635	26.4897	41.841
RECQL	47.8436	67.0967	67.4059	74.6771	55.4456	82.7562
KIF18B	1.16189	16.2034	13.7879	12.9034	24.1786	23.9906
DCLRE1B	14.2941	12.377	8.99865	9.52097	9.2417	9.81427
CR2	19.2873	5.07667	3.67005	6.92696	1.03852	9.91679
NAT9	105.58	96.2233	102.949	127.637	115.042	123.414
MLL2	111.13	88.8027	132.841	142.597	97.6826	129.76
ARMCX5	6.26918	15.0591	13.6888	11.4866	9.31471	10.0953
POLR2I	514.675	516.568	655.163	628.734	509.882	650.787
ZIM2	7.57368	6.80667	0.699048	2.44019	6.79697	14.1124
CABP1	1.10328	1.97749	1.5752	0.798463	2.62121	0.505411
GABRR1	6.89418	1.02342	2.66488	11.3559	17.313	2.50776
ALS2CL	127.322	111.788	136.362	155.581	95.1296	170.839
GSN	178.261	181.908	221.522	204.925	143.897	207.14
MSH5	31.1993	20.3951	23.9141	12.7105	21.7804	20.4169
MIER2	69.3378	68.871	76.1275	81.0602	52.9044	105.556
EMD	68.3192	60.275	60.3398	90.9439	59.7942	74.0261
FMO4	54.238	76.4306	65.3581	69.804	43.7202	75.2202
CRABP2	0.768691	1.26086	0.789909	1.29977	1.39094	2.04092
KBTBD11	11.858	11.558	25.3857	24.0132	2.91578	16.2805
PRSS35	0.340252	0.638875	1.05406	4.05511	0.359156	0.814249
CCT5	1192.96	1432.19	1532.74	1544.92	1224.32	1647.84
MAP6D1	1.05719	9.98024	2.49341	8.33557	1.76209	8.01357
MCC	217.752	172.474	206.378	283.577	123.744	173.48
ACBD4	151.681	167.485	215.332	249.627	176.694	193.769
SAA1	1670.25	3108.14	4632.66	4767.49	2519.57	7902.35
CHAC1	43.6551	42.3866	114.752	85.6374	58.8001	120.572
ARMC8	132.94	129.487	131.437	199.053	122.061	158.732
TAF3	19.1093	32.7582	30.5214	37.15	31.1248	35.0749
MRPS18A	353.311	390.707	417.823	660.719	523.442	536.284
TRIM39	66.0931	55.7567	111.025	85.0032	69.1881	98.2406
SOD1	5730.02	6631.82	7410.92	7732.45	7143.84	7020.71
TBL1X	501.04	443.111	535.44	451.181	401.057	413.424
UBAP1	197.403	183.633	212.929	298.197	201.931	270.543
MEPE	1.6275	0.815639	1.627	2.09473	1.41339	3.60378
KRT71	8.96031	7.99521	4.19607	2.31519	13.218	7.87517
PRKCI	224.891	197.854	271.854	330.362	217.736	264.417
CHD5	11.876	12.2733	2.3712	3.94753	2.22005	8.36223
HOPX	215.969	219.012	341.47	304.213	273.793	386.104
AHI1	19.4985	28.7044	26.8378	20.7461	9.60633	6.57413
